eta;run;va_mean;std
1.40000000;8;0.88842358;0.01479803
1.40000000;9;0.88450292;0.01973599
1.40000000;10;0.88227308;0.02007784
1.60000000;1;0.85334689;0.02001057
1.60000000;2;0.85208144;0.02382165
1.60000000;3;0.85027968;0.02123079
1.60000000;4;0.85041511;0.02441070
1.60000000;5;0.85499999;0.02339793
1.60000000;6;0.85725988;0.02105242
1.60000000;7;0.85025140;0.02419528
1.60000000;8;0.85577756;0.02740565
1.60000000;9;0.84567299;0.02782860
1.60000000;10;0.85772506;0.02151811
1.80000000;1;0.81525995;0.02963088
1.80000000;2;0.81705167;0.02713182
1.80000000;3;0.81442669;0.03049468
1.80000000;4;0.80596379;0.03623171
1.80000000;5;0.81342282;0.03040406
1.80000000;6;0.82174540;0.02573733
1.80000000;7;0.81036734;0.02972305
1.80000000;8;0.81389345;0.03201445
1.80000000;9;0.80635021;0.04190200
1.80000000;10;0.81829245;0.02282647
2.00000000;1;0.77721158;0.03116440
2.00000000;2;0.77581398;0.03864986
2.00000000;3;0.77292255;0.03450161
2.00000000;4;0.77032580;0.03621911
2.00000000;5;0.77792927;0.03082925
2.00000000;6;0.77332893;0.03502440
2.00000000;7;0.77252928;0.03630866
2.00000000;8;0.77594362;0.03207036
2.00000000;9;0.78308583;0.03016952
2.00000000;10;0.77251471;0.03364984
2.20000000;1;0.73540029;0.04162909
2.20000000;2;0.74007718;0.03309985
2.20000000;3;0.73864980;0.03864555
2.20000000;4;0.72912951;0.04354488
2.20000000;5;0.72425815;0.04633510
2.20000000;6;0.73287455;0.03585983
2.20000000;7;0.73165785;0.04199377
2.20000000;8;0.74323579;0.02719565
2.20000000;9;0.73961809;0.03248646
2.20000000;10;0.72509645;0.04162120
2.40000000;1;0.69216191;0.04571033
2.40000000;2;0.68331899;0.04133634
2.40000000;3;0.67906334;0.04373566
2.40000000;4;0.68765042;0.04334483
2.40000000;5;0.69265245;0.03608685
2.40000000;6;0.68962375;0.04179516
2.40000000;7;0.69149717;0.04804765
2.40000000;8;0.69235185;0.04662922
2.40000000;9;0.67919088;0.05102167
2.40000000;10;0.69656358;0.04073003
2.60000000;1;0.64314650;0.04910324
2.60000000;2;0.63424980;0.05866097
2.60000000;3;0.64130321;0.05012285
2.60000000;4;0.64536574;0.05062340
2.60000000;5;0.63715292;0.04797324
2.60000000;6;0.63721051;0.05711555
2.60000000;7;0.64477758;0.04907676
2.60000000;8;0.63516398;0.06570436
2.60000000;9;0.64256828;0.04232954
2.60000000;10;0.65019775;0.04152191
2.80000000;1;0.59293884;0.05039762
2.80000000;2;0.58433386;0.06089321
2.80000000;3;0.60697443;0.04345203
2.80000000;4;0.58493049;0.05193059
2.80000000;5;0.59139405;0.05716694
2.80000000;6;0.58193676;0.06229128
2.80000000;7;0.59963998;0.05280024
2.80000000;8;0.59411600;0.04493118
2.80000000;9;0.59213063;0.05165655
2.80000000;10;0.58358827;0.05856913
3.00000000;1;0.53441616;0.06022535
3.00000000;2;0.50638263;0.07851298
3.00000000;3;0.54164161;0.06171188
3.00000000;4;0.53027158;0.07006318
3.00000000;5;0.52970241;0.06734418
3.00000000;6;0.54337131;0.05831481
3.00000000;7;0.52355673;0.07550507
3.00000000;8;0.52258709;0.07646761
3.00000000;9;0.53419611;0.05950278
3.00000000;10;0.52781327;0.07144330
3.50000000;1;0.37055280;0.08562384
3.50000000;2;0.35630081;0.10712339
3.50000000;3;0.36358471;0.08666677
3.50000000;4;0.38836156;0.07110587
3.50000000;5;0.36156914;0.09883876
3.50000000;6;0.39118968;0.07706727
3.50000000;7;0.36486909;0.08164482
3.50000000;8;0.38909712;0.07789854
3.50000000;9;0.35619760;0.09453108
3.50000000;10;0.37187176;0.09110186
4.00000000;1;0.21412123;0.08700772
4.00000000;2;0.20656630;0.08773990
4.00000000;3;0.19658294;0.08720970
4.00000000;4;0.21445185;0.08684022
4.00000000;5;0.22195534;0.07793798
4.00000000;6;0.20324685;0.07626251
4.00000000;7;0.19636783;0.08480344
4.00000000;8;0.22243479;0.08167052
4.00000000;9;0.21514316;0.08350502
4.00000000;10;0.21694098;0.08539785
4.50000000;1;0.09662002;0.04886309
4.50000000;2;0.09973783;0.04940304
4.50000000;3;0.10434148;0.05255666
4.50000000;4;0.10230726;0.04877097
4.50000000;5;0.10467750;0.05068562
4.50000000;6;0.10196388;0.04994130
4.50000000;7;0.09596576;0.04785162
4.50000000;8;0.09905951;0.04925938
4.50000000;9;0.10256520;0.04788215
4.50000000;10;0.10368957;0.05129107
5.00000000;1;0.06261701;0.03298772
5.00000000;2;0.06163374;0.03218772
5.00000000;3;0.06139345;0.03199616
5.00000000;4;0.06133301;0.03197121
5.00000000;5;0.06194460;0.03273558
5.00000000;6;0.06556689;0.03345026
5.00000000;7;0.06121824;0.03219309
5.00000000;8;0.06108363;0.03165739
5.00000000;9;0.06157863;0.03109706
5.00000000;10;0.06191794;0.03324820
